name_latin,name_english,name_cyrillic,gender,flights,date_flight,date_death,flight_fate,notes
Snezhinka / Zhemchuzhnaya,Snowflake / Pearly,Снежинка / Жемчужная,Female,1959-07-10,1959-07-10,NA,Survived,NA
Snezhinka / Zhemchuzhnaya,Snowflake / Pearly,Снежинка / Жемчужная,Female,1960-06-24,1960-06-24,NA,Survived,NA
Malyok,Small Fry,Малёк,Male,1960-06-15,1960-06-15,NA,Survived,NA
Malyok,Small Fry,Малёк,Male,1960-09-16,1960-09-16,NA,Survived,NA
Lisichka,Little Fox,Лисичка,Female,1960-07-28,1960-07-28,1960-07-28,Died,NA
Bars / Chaika,Panther / Seagull,Барс / Чайка,Female,1960-07-28,1960-07-28,1960-07-28,Died,NA
Strelka,Little Arrow,Стрелка,Female,1960-08-19,1960-08-19,NA,Survived,"Went on to have six puppies with a male dog named Pushok who participated in many ground-based space experiments, but never made it into space. One of the pups was named Pushinka (Пушинка, ""Fluffy"") and was presented to President John F. Kennedy by Nikita Khrushchev in 1961. A Cold War romance bloomed between Pushinka and a Kennedy dog named Charlie, resulting in the birth of four pups that JFK referred to jokingly as pupniks. Two of their pups, Butterfly and Streaker were given away to children in the Midwest. The other two puppies, White Tips and Blackie, stayed at the Kennedy home on Squaw Island but were eventually given away to family friends."
Neva,Neva,Нева,Female,1960-09-22,1960-09-22,NA,Survived,NA
Mushka,Little Fly,Мушка,Female,1960-12-01,1960-12-01,1960-12-01,Died,NA
Pchyolka,Little Bee,Пчёлка,Female,1960-12-01,1960-12-01,1960-12-01,Died,NA
Shutka,Joke,Шутка,Female,1960-12-22,1960-12-22,NA,Survived,"Also known as Damka (Little Lady) and Zhemchuzhina (Pearl). Adopted by Oleg Gazenko, a leading Soviet space scientist. She went on to have puppies and continued living with Gazenko and his family until her death 14 years later."
Chernuskha,Blackie,Чернушка,Female,1961-03-09,1961-03-09,NA,Survived,NA
Kometka,Comet,Кометка,Female,1960-12-22,1960-12-22,NA,Survived,Also known as Krasavka (Cheater) and Zhulka (Beauty) and Zhemchuzhnaya (Pearly) and Snezchinka (Snowflake)
Zvezdochka,Little Star,Звёздочка,Female,1961-03-25,1961-03-25,NA,Survived,NA
Ugolyok / Snezhok,Little Piece of Coal / Snowball,Уголёк / Снежок,Male,1966-02-22,1966-02-22,NA,Survived,NA
Veterok / Bzdunok,Little Wind / Little Fart,Ветерок / Вздунок,Male,1966-02-22,1966-02-22,NA,Survived,NA
